player_name,,player_id,league_id,total_matches_played,total_innings_played,overs,maidens,runs,wickets,average,economy,strike_rate,,,
Tymal Mills,(,32,1,6,6,21.5,0,216,6,36,9.89,21.8,),"32, 1, 6, 6, 21.5, 0, 216, 6, 36, 9.89, 21.8","(32, 1, 6, 6, 21.5, 0, 216, 6, 36, 9.89, 21.8),  -- Tymal Mills"
Faheem Ashraf,(,28,1,12,10,28,0,276,6,46,9.85,28,),"28, 1, 12, 10, 28, 0, 276, 6, 46, 9.85, 28","(28, 1, 12, 10, 28, 0, 276, 6, 46, 9.85, 28),  -- Faheem Ashraf"
Agha Salman,(,26,1,12,5,12,0,97,2,48.5,8.08,36,),"26, 1, 12, 5, 12, 0, 97, 2, 48.5, 8.08, 36","(26, 1, 12, 5, 12, 0, 97, 2, 48.5, 8.08, 36),  -- Agha Salman"
Azam Khan,(,23,1,12,0,0,0,0,0,0,NULL,NULL,),"23, 1, 12, 0, 0, 0, 0, 0, 0, NULL, NULL","(23, 1, 12, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Azam Khan"
Alex Hales,(,24,1,10,0,0,0,0,0,0,NULL,NULL,),"24, 1, 10, 0, 0, 0, 0, 0, 0, NULL, NULL","(24, 1, 10, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Alex Hales"
Colin Munro,(,25,1,10,0,0,0,0,0,0,NULL,NULL,),"25, 1, 10, 0, 0, 0, 0, 0, 0, NULL, NULL","(25, 1, 10, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Colin Munro"
Usama Mir,(,44,1,12,12,46.5,0,381,24,15.87,8.13,11.7,),"44, 1, 12, 12, 46.5, 0, 381, 24, 15.87, 8.13, 11.7","(44, 1, 12, 12, 46.5, 0, 381, 24, 15.87, 8.13, 11.7),  -- Usama Mir"
Abbas Afridi,(,40,1,9,9,29,0,248,13,19.07,8.55,13.3,),"40, 1, 9, 9, 29, 0, 248, 13, 19.07, 8.55, 13.3","(40, 1, 9, 9, 29, 0, 248, 13, 19.07, 8.55, 13.3),  -- Abbas Afridi"
David Willey,(,39,1,11,11,41,0,306,15,20.4,7.46,16.4,),"39, 1, 11, 11, 41, 0, 306, 15, 20.4, 7.46, 16.4","(39, 1, 11, 11, 41, 0, 306, 15, 20.4, 7.46, 16.4),  -- David Willey"
Khushdil Shah,(,36,1,10,6,14.2,1,102,4,25.5,7.11,21.5,),"36, 1, 10, 6, 14.2, 1, 102, 4, 25.5, 7.11, 21.5","(36, 1, 10, 6, 14.2, 1, 102, 4, 25.5, 7.11, 21.5),  -- Khushdil Shah"
Chris Jordan,(,41,1,6,6,21,0,177,6,29.5,8.42,21,),"41, 1, 6, 6, 21, 0, 177, 6, 29.5, 8.42, 21","(41, 1, 6, 6, 21, 0, 177, 6, 29.5, 8.42, 21),  -- Chris Jordan"
Iftikhar Ahmed,(,35,1,12,7,13,0,121,2,60.5,9.3,39,),"35, 1, 12, 7, 13, 0, 121, 2, 60.5, 9.3, 39","(35, 1, 12, 7, 13, 0, 121, 2, 60.5, 9.3, 39),  -- Iftikhar Ahmed"
Shahnawaz Dahani,(,42,1,4,4,9,0,97,1,97,10.77,54,),"42, 1, 4, 4, 9, 0, 97, 1, 97, 10.77, 54","(42, 1, 4, 4, 9, 0, 97, 1, 97, 10.77, 54),  -- Shahnawaz Dahani"
Johnson Charles,(,34,1,4,0,0,0,0,0,0,NULL,NULL,),"34, 1, 4, 0, 0, 0, 0, 0, 0, NULL, NULL","(34, 1, 4, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Johnson Charles"
Dawid Malan,(,37,1,5,0,0,0,0,0,0,NULL,NULL,),"37, 1, 5, 0, 0, 0, 0, 0, 0, NULL, NULL","(37, 1, 5, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Dawid Malan"
Mohammad Rizwan,(,38,1,12,0,0,0,0,0,0,NULL,NULL,),"38, 1, 12, 0, 0, 0, 0, 0, 0, NULL, NULL","(38, 1, 12, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Mohammad Rizwan"
Marcus Stoinis,(,83,2,15,5,10.5,0,100,5,20,9.23,13,),"83, 2, 15, 5, 10.5, 0, 100, 5, 20, 9.23, 13","(83, 2, 15, 5, 10.5, 0, 100, 5, 20, 9.23, 13),  -- Marcus Stoinis"
Kyle Mayers,(,82,2,13,6,7,0,59,0,0,8.42,NULL,),"82, 2, 13, 6, 7, 0, 59, 0, 0, 8.42, NULL","(82, 2, 13, 6, 7, 0, 59, 0, 0, 8.42, NULL),  -- Kyle Mayers"
Quinton de Kock,(,79,2,4,0,0,0,0,0,0,NULL,NULL,),"79, 2, 4, 0, 0, 0, 0, 0, 0, NULL, NULL","(79, 2, 4, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Quinton de Kock"
Nicholas Pooran,(,80,2,15,0,0,0,0,0,0,NULL,NULL,),"80, 2, 15, 0, 0, 0, 0, 0, 0, NULL, NULL","(80, 2, 15, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Nicholas Pooran"
KL Rahul,(,78,2,9,0,0,0,0,0,0,NULL,NULL,),"78, 2, 9, 0, 0, 0, 0, 0, 0, NULL, NULL","(78, 2, 9, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- KL Rahul"
Cameron Green,(,60,2,16,16,38,0,361,6,60.16,9.5,38,),"60, 2, 16, 16, 38, 0, 361, 6, 60.16, 9.5, 38","(60, 2, 16, 16, 38, 0, 361, 6, 60.16, 9.5, 38),  -- Cameron Green"
Tim David,(,67,2,16,0,0,0,0,0,0,NULL,NULL,),"67, 2, 16, 0, 0, 0, 0, 0, 0, NULL, NULL","(67, 2, 16, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Tim David"
Ishan Kishan,(,68,2,16,0,0,0,0,0,0,NULL,NULL,),"68, 2, 16, 0, 0, 0, 0, 0, 0, NULL, NULL","(68, 2, 16, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Ishan Kishan"
Rohit Sharma,(,69,2,16,0,0,0,0,0,0,NULL,NULL,),"69, 2, 16, 0, 0, 0, 0, 0, 0, NULL, NULL","(69, 2, 16, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Rohit Sharma"
Suryakumar Yadav,(,70,2,16,0,0,0,0,0,0,NULL,NULL,),"70, 2, 16, 0, 0, 0, 0, 0, 0, NULL, NULL","(70, 2, 16, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Suryakumar Yadav"
Ravindra Jadeja,(,49,2,16,16,57,0,431,20,21.55,7.56,17.1,),"49, 2, 16, 16, 57, 0, 431, 20, 21.55, 7.56, 17.1","(49, 2, 16, 16, 57, 0, 431, 20, 21.55, 7.56, 17.1),  -- Ravindra Jadeja"
Moeen Ali,(,48,2,15,11,26,0,195,9,21.66,7.5,17.3,),"48, 2, 15, 11, 26, 0, 195, 9, 21.66, 7.5, 17.3","(48, 2, 15, 11, 26, 0, 195, 9, 21.66, 7.5, 17.3),  -- Moeen Ali"
Deepak Chahar,(,52,2,10,10,34,0,297,13,22.84,8.73,15.6,),"52, 2, 10, 10, 34, 0, 297, 13, 22.84, 8.73, 15.6","(52, 2, 10, 10, 34, 0, 297, 13, 22.84, 8.73, 15.6),  -- Deepak Chahar"
Mitchell Santner,(,51,2,3,3,12,0,81,3,27,6.75,24,),"51, 2, 3, 3, 12, 0, 81, 3, 27, 6.75, 24","(51, 2, 3, 3, 12, 0, 81, 3, 27, 6.75, 24),  -- Mitchell Santner"
MS Dhoni,(,46,2,16,0,0,0,0,0,0,NULL,NULL,),"46, 2, 16, 0, 0, 0, 0, 0, 0, NULL, NULL","(46, 2, 16, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- MS Dhoni"
Ruturaj Gaikwad,(,45,2,16,0,0,0,0,0,0,NULL,NULL,),"45, 2, 16, 0, 0, 0, 0, 0, 0, NULL, NULL","(45, 2, 16, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Ruturaj Gaikwad"
Ajinkya Rahane,(,47,2,14,0,0,0,0,0,0,NULL,NULL,),"47, 2, 14, 0, 0, 0, 0, 0, 0, NULL, NULL","(47, 2, 14, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Ajinkya Rahane"
Vijaykumar Vyshak,(,66,2,7,7,24,0,253,9,28.11,10.54,16,),"66, 2, 7, 7, 24, 0, 253, 9, 28.11, 10.54, 16","(66, 2, 7, 7, 24, 0, 253, 9, 28.11, 10.54, 16),  -- Vijaykumar Vyshak"
Glenn Maxwell,(,62,2,14,7,10.2,0,94,3,31.33,9.09,20.6,),"62, 2, 14, 7, 10.2, 0, 94, 3, 31.33, 9.09, 20.6","(62, 2, 14, 7, 10.2, 0, 94, 3, 31.33, 9.09, 20.6),  -- Glenn Maxwell"
Iftikhar Ahmed,(,35,2,10,5,7,0,95,1,95,13.57,42,),"35, 2, 10, 5, 7, 0, 95, 1, 95, 13.57, 42","(35, 2, 10, 5, 7, 0, 95, 1, 95, 13.57, 42),  -- Iftikhar Ahmed"
Faf du Plessis,(,56,2,14,0,0,0,0,0,0,NULL,NULL,),"56, 2, 14, 0, 0, 0, 0, 0, 0, NULL, NULL","(56, 2, 14, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Faf du Plessis"
Virat Kohli,(,58,2,14,0,0,0,0,0,0,NULL,NULL,),"58, 2, 14, 0, 0, 0, 0, 0, 0, NULL, NULL","(58, 2, 14, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Virat Kohli"
Jason Behrendorff,(,96,3,14,14,55,0,368,21,17.52,6.69,15.7,),"96, 3, 14, 14, 55, 0, 368, 21, 17.52, 6.69, 15.7","(96, 3, 14, 14, 55, 0, 368, 21, 17.52, 6.69, 15.7),  -- Jason Behrendorff"
Matthew Kelly,(,97,3,8,8,27.1,0,209,11,19,7.69,14.8,),"97, 3, 8, 8, 27.1, 0, 209, 11, 19, 7.69, 14.8","(97, 3, 8, 8, 27.1, 0, 209, 11, 19, 7.69, 14.8),  -- Matthew Kelly"
Andrew Tye,(,99,3,16,16,62,1,524,26,20.15,8.45,14.3,),"99, 3, 16, 16, 62, 1, 524, 26, 20.15, 8.45, 14.3","(99, 3, 16, 16, 62, 1, 524, 26, 20.15, 8.45, 14.3),  -- Andrew Tye"
Aaron Hardie,(,93,3,15,5,14,0,112,5,22.4,8,16.8,),"93, 3, 15, 5, 14, 0, 112, 5, 22.4, 8, 16.8","(93, 3, 15, 5, 14, 0, 112, 5, 22.4, 8, 16.8),  -- Aaron Hardie"
Ashton Agar,(,95,3,10,10,37,0,271,6,45.16,7.32,37,),"95, 3, 10, 10, 37, 0, 271, 6, 45.16, 7.32, 37","(95, 3, 10, 10, 37, 0, 271, 6, 45.16, 7.32, 37),  -- Ashton Agar"
